edge_id,src_node,dst_node,num_lanes,length_m,speed_limit_mps
42525,1642975886,1678683820,1,338.2,22.352
42526,1642975898,33144469,2,297.7,22.352
42527,1642975892,1642975894,2,343.4,22.352
42528,1642975892,3974818867,1,512.7,22.352
42529,3966620411,53103679,3,599.0,11.176
42530,665703364,665705317,2,237.4,13.4112
42531,665703373,289652411,5,38.9,15.6464
42532,665703373,665703364,1,56.5,13.4112
42533,91083738,91044835,1,614.0,8.9408
42534,91083738,2725858220,1,857.2,8.9408
42535,91083738,495753363,1,1069.4,8.9408
42536,1690162208,65652285,1,815.3,8.9408
42537,1690162208,65515920,1,1463.4,13.4112
42538,1690162208,65546714,1,1315.7,12.070079999999999
42539,5045605470,65630927,5,13.6,15.6464
42540,5045605470,5045605482,2,373.7,8.9408
42541,5045605480,5045605470,2,18.0,8.9408
42542,5045605480,1710790638,3,157.5,15.6464
42543,5045605482,65539639,1,1498.2,8.9408
42544,5045605482,65630927,2,383.5,8.9408
42545,1067308242,49067139,1,372.3,22.352
42546,91084041,91078169,1,3456.5,8.9408
42547,1067308472,2460844498,1,64.0,22.352
42548,1067308472,3420318018,1,48.0,22.352
42549,91084407,91076472,1,564.6,11.176
42550,91084407,91056251,1,3914.6,8.9408
42551,91084407,91078806,1,1158.3,11.176
42552,91084444,5172032537,1,54.4,15.6464
42553,91084444,91058039,1,579.3,15.6464
42554,91084444,91094749,1,1844.1,8.9408
42555,257808050,312413173,3,439.8,29.0576
42556,257808248,65484149,3,507.5,29.0576
42557,257808248,287794849,3,792.8,29.0576
42558,257808261,257808265,3,723.4,29.0576
42559,257808261,65506901,3,658.2,29.0576
42560,257808265,257939740,2,400.6,22.352
42561,257808265,1377399032,3,258.0,29.0576
42562,91084703,91048922,1,451.6,8.9408
42563,65621886,312412132,1,18.6,11.176
42564,65621886,65630140,3,476.7,17.8816
42565,65621886,65515240,1,161.8,8.9408
42566,91085286,91032348,1,138.8,8.9408
42567,91085286,91078152,1,1750.3,8.9408
42568,91085286,816332563,1,543.9,13.4112
42569,187554291,187607577,1,510.6,8.9408
42570,187554291,1774346224,2,90.8,8.9408
42571,257809014,257809659,1,286.2,22.352
42572,91085463,91070157,1,435.1,8.9408
42573,257809091,257809657,2,562.0,22.352
42574,257809091,257810783,4,498.9,29.0576
42575,665705316,665705317,2,14.6,11.176
42576,665705316,435103367,3,235.7,13.4112
42577,665705317,289652355,2,13.4,13.4112
42578,665705317,665705328,2,714.5,11.176
42579,665705328,65533822,1,12.3,11.176
42580,665705328,2011559005,1,98.1,8.9408
42581,3958233973,52978820,3,95.6,11.176
42582,3958233973,1316708172,1,11.7,11.176
